| HH184      | A     | station     | HH184   | 2018-03-29 16:06:13 | None   |         | ground   |                                  | 540960.0E, 6601214.0N, 1051.2m |
| HH185      | A     | station     | HH185   | 2018-03-29 16:06:15 | None   |         | ground   |                                  | 540974.6E, 6601214.0N, 1051.2m |
| HH186      | A     | station     | HH186   | 2018-03-29 16:06:17 | None   |         | ground   |                                  | 540989.2E, 6601214.0N, 1051.2m |
| HH18       | A     | station     | HH18    | 2018-11-23 10:00:37 | None   |         | ground   |                                  | 540996.5E, 6601083.4N, 1052.4m |
| HH196      | A     | station     | HH196   | 2018-09-07 10:00:37 | None   |         | ground   |                                  | 540850.5E, 6601226.7N, 1051.0m |
| HH197      | A     | station     | HH197   | 2018-08-30 10:00:37 | None   |         | ground   |                                  | 540865.1E, 6601226.7N, 1051.0m |
| HH198      | A     | station     | HH198   | 2018-03-29 16:06:19 | None   |         | ground   |                                  | 540879.7E, 6601226.7N, 1051.0m |
| HH199      | A     | station     | HH199   | 2018-03-29 16:06:20 | None   |         | ground   |                                  | 540894.3E, 6601226.7N, 1051.0m |
| HH19       | A     | station     | HH19    | 2018-11-22 10:00:37 | None   |         | ground   |                                  | 541011.1E, 6601083.4N, 1052.4m |
| HH1        | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540916.2E, 6601070.7N, 1052.6m |
| HH200      | A     | station     | HH200   | 2018-03-29 16:06:22 | None   |         | ground   |                                  | 540908.9E, 6601226.7N, 1051.0m |
| HH201      | A     | station     | HH201   | 2018-03-29 16:06:24 | None   |         | ground   |                                  | 540923.5E, 6601226.7N, 1051.0m |
| HH202      | A     | station     | HH202   | 2018-03-29 16:06:26 | None   |         | ground   |                                  | 540938.1E, 6601226.7N, 1051.0m |
| HH203      | A     | station     | HH203   | 2018-03-29 16:06:28 | None   |         | ground   |                                  | 540952.7E, 6601226.7N, 1051.0m |
| HH204      | A     | station     | HH204   | 2018-03-29 16:06:30 | None   |         | ground   |                                  | 540967.3E, 6601226.7N, 1051.0m |
| HH205      | A     | station     | HH205   | 2018-09-05 10:00:37 | None   |         | ground   |                                  | 540981.9E, 6601226.7N, 1051.1m |
| HH206      | A     | station     | HH206   | 2018-11-16 10:00:37 | None   |         | ground   |                                  | 540996.5E, 6601226.7N, 1051.1m |
| HH20       | A     | station     | HH20    | 2018-11-28 10:00:37 | None   |         | ground   |                                  | 541025.7E, 6601083.4N, 1052.4m |
| HH215      | A     | station     | HH215   | 2018-08-20 10:00:37 | None   |         | ground   |                                  | 540857.8E, 6601239.3N, 1050.9m |
| HH216      | A     | station     | HH216   | 2018-03-29 16:06:31 | None   |         | ground   |                                  | 540872.4E, 6601239.3N, 1050.9m |
| HH217      | A     | station     | HH217   | 2018-03-29 16:06:33 | None   |         | ground   |                                  | 540887.0E, 6601239.3N, 1050.9m |
| HH218      | A     | station     | HH218   | 2018-03-29 16:06:35 | None   |         | ground   |                                  | 540901.6E, 6601239.3N, 1050.9m |
