hpn,hpn_rev,hptype,manufacturer_number,start_gpstime,stop_gpstime
A233,H,antenna,S/N110,1206352818,
PAM75195,A,post-amp,PAM75195,1215946818,
FEM75052,A,front-end,75052,1195466418,
A81,H,antenna,S/N73,1202032818,
A338,H,antenna,S/N79,1202032818,
FDA70,B,feed,P70,1206093618,
HH186,A,station,HH186,1206374758,
HH239,A,station,HH239,1206374798,
A178,H,antenna,S/N89,1206352818,
A235,H,antenna,S/N111,1206352818,
PAM75196,A,post-amp,PAM75196,1215946818,
FEM75051,A,front-end,75051,1195466418,
FDA60,B,feed,P60,1202032818,
FDA68,B,feed,P68,1202032818,
FDA71,B,feed,P71,1206093618,
HH198,A,station,HH198,1206374760,
HH240,A,station,HH240,1206374799,
A179,H,antenna,S/N90,1206352818,
A236,H,antenna,S/N112,1206352818,
PAM75191,A,post-amp,PAM75191,1215946818,
FEM75061,A,front-end,75061,1195466418,
HH116,A,station,HH116,1202260324,
C7F338,A,cable-feed75,C7F338,1202032818,
FDA73,B,feed,P73,1206093618,
HH199,A,station,HH199,1206374761,
HH241,A,station,HH241,1206374801,
A184,H,antenna,S/N91,1206352818,
A237,H,antenna,S/N113,1206352818,
PAM75192,A,post-amp,PAM75192,1215946818,
FEM75062,A,front-end,75062,1195466418,
A116,H,antenna,S/N74,1202032818,
FEM75064,A,front-end,75064,1206093618,
HH200,A,station,HH200,1206374763,
HH242,A,station,HH242,1206374803,
A185,H,antenna,S/N92,1206352818,
A238,H,antenna,S/N114,1206352818,
PAM75193,A,post-amp,PAM75193,1215946818,
FEM75063,A,front-end,75063,1195466418,
FDA61,B,feed,P61,1202032818,
FEM75065,A,front-end,75065,1206093618,
HH201,A,station,HH201,1206374765,
HH243,A,station,HH243,1206374805,
A186,H,antenna,S/N93,1206352818,
A239,H,antenna,S/N115,1206352818,
FEM75049,A,front-end,75049,1195466418,
HH155,A,station,HH155,1202260350,
FEM75047,A,front-end,75047,1206093618,
HH202,A,station,HH202,1206374767,
HH250,A,station,HH250,1206374807,
A198,H,antenna,S/N94,1206352818,
A240,H,antenna,S/N116,1206352818,
FEM75050,A,front-end,75050,1195466418,
A155,H,antenna,S/N75,1202032818,
C7F180,A,cable-feed75,P180,1206093618,
HH203,A,station,HH203,1206374769,
HH252,A,station,HH252,1206374809,
A199,H,antenna,S/N95,1206352818,
A241,H,antenna,S/N117,1206352818,
PAM75164,B,post-amp,75164,1195466418,
FDA62,B,feed,P62,1202032818,
C7F181,A,cable-feed75,P181,1206093618,
HH204,A,station,HH204,1206374771,
HH253,A,station,HH253,1206374810,
