Date                     HH24               HH25               HH26               HH27               HH28               HH36               HH37               HH38               HH39        
2017-07-27 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-29 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-31 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-08-02 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-04 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-06 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-08 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-10 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-12 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-14 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-16 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---                ---                ---                ---                ---        
2017-08-18 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---          e:DF5G2 n:DF5G1    e:DF7D2 n:DF7D1    e:DF8G2 n:DF8G1    e:DF6E2 n:DF6E1  
2017-08-20 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---          e:DF5G2 n:DF5G1    e:DF7D2 n:DF7D1    e:DF8G2 n:DF8G1    e:DF6E2 n:DF6E1  
2017-08-22 00:00    e:DF7A2 n:DF7A1    e:DF7A4 n:DF7A3    e:DF7B2 n:DF7B1    e:DF7B4 n:DF7B3          ---          e:DF5G2 n:DF5G1    e:DF7D2 n:DF7D1    e:DF8G2 n:DF8G1    e:DF6E2 n:DF6E1  
