Date                      HH0                HH1                HH2                HH3               HH11               HH12               HH13               HH14               HH15               HH23        
2017-04-02 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-04 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-06 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-08 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-10 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-12 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-14 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-16 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-18 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-20 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-22 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-24 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-26 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-04-28 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
